fold_name,Dataset,Sub,Which,OnsetFrame,Apex,OffsetFrame,Emo
casme2__sub01,casme2,sub01,EP02_01f,46,59,86,1
casme2__sub01,casme2,sub01,EP19_05f,396,416,446,0
casme2__sub01,casme2,sub01,EP19_06f,36,71,161,0
casme2__sub02,casme2,sub02,EP01_11f,46,91,96,0
casme2__sub02,casme2,sub02,EP02_04f,31,79,141,0
casme2__sub02,casme2,sub02,EP03_02f,16,81,136,0
casme2__sub02,casme2,sub02,EP06_01f,56,121,155,0
casme2__sub02,casme2,sub02,EP06_02f,36,64,111,0
casme2__sub02,casme2,sub02,EP09_01,26,56,125,1
casme2__sub02,casme2,sub02,EP11_01,16,69,106,2
casme2__sub02,casme2,sub02,EP13_04,21,51,76,2
casme2__sub02,casme2,sub02,EP14_01,81,114,126,2
casme2__sub03,casme2,sub03,EP01_2,51,69,91,2
casme2__sub03,casme2,sub03,EP07_04,21,81,106,0
casme2__sub03,casme2,sub03,EP09_03,61,76,121,0
casme2__sub03,casme2,sub03,EP18_06,26,81,126,0
casme2__sub03,casme2,sub03,EP19_08,101,121,141,0
casme2__sub04,casme2,sub04,EP12_02f,356,387,406,0
casme2__sub04,casme2,sub04,EP13_06f,71,108,161,0
casme2__sub05,casme2,sub05,EP02_07,36,66,101,2
casme2__sub05,casme2,sub05,EP03_01,41,81,101,1
casme2__sub05,casme2,sub05,EP03_06,33,66,83,2
casme2__sub05,casme2,sub05,EP04_05,16,44,66,2
casme2__sub05,casme2,sub05,EP04_06,6,49,91,2
casme2__sub05,casme2,sub05,EP12_03f,11,36,61,2
casme2__sub06,casme2,sub06,EP01_01,81,111,136,1
casme2__sub06,casme2,sub06,EP02_31,99,131,148,2
casme2__sub06,casme2,sub06,EP15_02,56,79,106,2
casme2__sub06,casme2,sub06,EP16_05,94,114,151,0
casme2__sub07,casme2,sub07,EP01_01,79,109,156,0
casme2__sub07,casme2,sub07,EP06_02_01,11,66,91,0
casme2__sub07,casme2,sub07,EP06_02_02,36,81,91,0
casme2__sub07,casme2,sub07,EP08_02,141,174,191,0
casme2__sub07,casme2,sub07,EP15_01,36,64,91,0
casme2__sub08,casme2,sub08,EP13_01f,49,86,126,0
casme2__sub09,casme2,sub09,EP02_01f,21,74,91,1
casme2__sub09,casme2,sub09,EP05_05,46,84,96,1
casme2__sub09,casme2,sub09,EP06_01f,66,144,186,0
casme2__sub09,casme2,sub09,EP06_02f,36,101,131,1
casme2__sub09,casme2,sub09,EP09_04,26,71,146,0
casme2__sub09,casme2,sub09,EP09_05,26,81,111,0
casme2__sub09,casme2,sub09,EP09f,26,64,86,1
casme2__sub09,casme2,sub09,EP13_01,31,74,121,0
casme2__sub09,casme2,sub09,EP15_05,56,91,111,1
casme2__sub09,casme2,sub09,EP17_08,6,41,76,0
casme2__sub11,casme2,sub11,EP08_01f,96,121,146,0
casme2__sub11,casme2,sub11,EP13_02f,51,111,141,0
casme2__sub11,casme2,sub11,EP13_03f,6,49,81,0
casme2__sub11,casme2,sub11,EP13_05f,16,61,111,0
casme2__sub12,casme2,sub12,EP01_02,31,99,106,0
casme2__sub12,casme2,sub12,EP02_05,41,61,140,2
casme2__sub12,casme2,sub12,EP03_04,60,129,156,1
casme2__sub12,casme2,sub12,EP04_16,36,56,135,0
casme2__sub12,casme2,sub12,EP06_06,36,76,111,2
casme2__sub12,casme2,sub12,EP08_01,46,81,106,2
casme2__sub12,casme2,sub12,EP08_03,76,114,156,2
casme2__sub12,casme2,sub12,EP08_07,111,134,186,1
casme2__sub12,casme2,sub12,EP09_02,16,59,101,0
casme2__sub12,casme2,sub12,EP09_06,66,111,111,0
casme2__sub12,casme2,sub12,EP16_02,136,189,226,0
casme2__sub13,casme2,sub13,EP03_01,31,86,111,1
